,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recovered,New_recovered,Active_cases,Serious/critical,Total_cases/1M,Deaths/1M,Total_tests,Tests/1M,Population,Continent,%Inc_cases,%Inc_deaths,%Inc_recovered
213,St. Barth,5263,0,6,0,0,0,0,0,529211,603,78646,7908095,9945,North America,0.0,0.0,
214,Nauru,4611,0,1,0,4605,0,5,0,422911,92,20509,1881042,10903,Australia/Oceania,0.0,0.0,0.0
215,Anguilla,3851,0,12,0,3821,0,18,4,252856,788,51382,3373736,15230,North America,0.0,0.0,0.0
216,Kiribati,3430,0,13,0,2703,0,714,3,27792,105,0,0,123419,Australia/Oceania,0.0,0.0,0.0
217,Saint Pierre Miquelon,3131,0,1,0,2449,0,681,1,543671,174,24902,4324015,5759,North America,0.0,0.0,0.0
218,Montserrat,1276,0,8,0,1144,0,124,0,256999,1611,16657,3354884,4965,North America,0.0,0.0,0.0
219,Wallis and Futuna,761,0,7,0,438,0,316,0,69295,637,20508,1867419,10982,Australia/Oceania,0.0,0.0,0.0
220,Niue,78,1,0,0,73,0,5,0,48089,0,0,0,1622,Australia/Oceania,1.282051282051282,,0.0
221,Saint Helena,57,0,0,0,2,0,55,0,9321,0,0,0,6115,Africa,0.0,,0.0
222,Tuvalu,20,0,0,0,0,0,20,0,1658,0,0,0,12066,Australia/Oceania,0.0,,
223,Total:,615324011,520969,6522896,1466,594344187,640356,14456928,41005,78940,836,0,0,0,All,0.08466580056795475,0.0224746799581045,0.10774161067045147
