,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recovered,New_recovered,Active_cases,Serious/critical,Total_cases/1M,Deaths/1M,Total_tests,Tests/1M,Population,Continent,%Inc_cases,%Inc_deaths,%Inc_recovered
68,New Zealand,861118,10371,600,18,804658,9631,55860,0,172151,120,6977683,1394951,5002100,Australia/Oceania,1.204364558631918,3.0,1.196906014729239
69,Costa Rica,847784,0,8383,0,829515,0,9886,43,163733,1619,4240743,819019,5177833,North America,0.0,0.0,0.0
70,Guatemala,840477,1061,17475,18,820297,1084,2705,5,45402,944,4392324,237271,18511815,North America,0.12623783875109015,0.10300429184549358,0.13214725885868167
71,Latvia,815533,1133,5735,11,800770,1069,9028,9,441144,3102,7142381,3863505,1848679,Europe,0.13892754799621843,0.1918047079337402,0.13349650960950085
72,Azerbaijan,792445,33,9707,1,782603,19,135,0,76909,942,6785398,658543,10303646,Asia,0.004164326861801134,0.010301844030081385,0.002427795446733529
73,Panama,770463,487,8180,0,759150,391,3133,9,173646,1844,5813988,1310347,4436982,North America,0.06320874590992688,0.0,0.05150497266679839
74,Saudi Arabia,753124,130,9075,1,740008,241,4041,59,21043,254,41796829,1167854,35789428,Asia,0.017261433708127744,0.011019283746556474,0.032567215489562276
75,Sri Lanka,663041,35,16499,2,642568,8,3974,0,30732,765,6486117,300633,21574834,Asia,0.005278708254843969,0.012121946784653614,0.0012450044197656902
76,Paraguay,648682,0,18786,0,624673,0,5223,6,88980,2577,2615453,358763,7290200,South America,0.0,0.0,0.0
77,Kuwait,631076,0,2555,0,627610,0,911,8,143943,583,7986760,1821708,4384216,Asia,0.0,0.0,0.0
78,Myanmar,612697,20,19434,0,591544,22,1719,0,11127,353,7870822,142934,55066249,Asia,0.0032642562310571128,0.0,0.003719080913676751
79,Palestine,581816,0,5353,0,575899,0,564,17,109472,1007,3078533,579245,5314731,Asia,0.0,0.0,0.0
80,Dominican Republic,578954,165,4376,1,574297,53,281,16,52424,396,3261060,295287,11043679,North America,0.02849967354919389,0.022851919561243144,0.009228674361871993
81,Estonia,569347,803,2528,2,505048,863,61771,5,428680,1903,3304993,2488437,1328140,Europe,0.14103876897568618,0.07911392405063292,0.1708748475392438
82,Bahrain,565076,459,1475,1,559916,474,3685,3,312556,816,9690419,5359979,1807921,Asia,0.08122801180726133,0.06779661016949153,0.08465555547617856
83,Venezuela,522070,14,5705,1,515135,75,1230,230,18454,202,3359014,118731,28290950,South America,0.0026816327312429366,0.017528483786152498,0.014559290283129665
84,Moldova,516864,165,11487,0,504008,245,1369,48,128666,2860,3213594,799980,4017091,Europe,0.0319232912332838,0.0,0.048610339518420344
85,Egypt,515645,0,24613,0,442182,0,48850,122,4873,233,3693367,34907,105806911,Africa,0.0,0.0,0.0
86,Libya,501862,0,6429,0,490900,0,4533,101,71293,913,2476960,351869,7039428,Africa,0.0,0.0,0.0
